Ativo,Qtd,"Preço médio","Total investido","Preço atual","Total atual",Ganho,"% Ganho"
"Arca Grão Previdência Multimercado","13.458,53734714",-,"R$ 17.142,40",-,"R$ 21.050,40","R$ 3.908,00","22,80 %"
"Super Conservador Multimercado","46,0195085",-,"R$ 14.038,80",-,"R$ 16.206,38","R$ 2.167,58","15,44 %"
ITSA4,296,"R$ 9,82","R$ 2.906,52","R$ 14,09","R$ 4.170,64","R$ 1.264,12","43,49 %"
UNH,2,"R$ 1.814,19","R$ 3.628,39","R$ 2.195,80","R$ 4.391,60","R$ 763,22","21,03 %"
JNJ,4,"R$ 1.136,27","R$ 4.545,10","R$ 1.325,36","R$ 5.301,42","R$ 756,32","16,64 %"
"Tesouro Selic 2028","0,5","R$ 17.925,61","R$ 8.962,81","R$ 19.376,32","R$ 9.543,09","R$ 580,28","6,47 %"
"Tesouro Selic 2031","0,35","R$ 17.540,23","R$ 6.139,08","R$ 19.310,18","R$ 6.650,15","R$ 511,07","8,32 %"
VOO,2,"R$ 3.327,42","R$ 6.654,84","R$ 3.582,81","R$ 7.165,62","R$ 510,78","7,68 %"
"Tesouro IPCA+ 2029","1,24","R$ 3.333,06","R$ 4.133,00","R$ 3.754,53","R$ 4.564,16","R$ 431,16","10,43 %"
AXP,2,"R$ 1.608,36","R$ 3.216,72","R$ 1.803,14","R$ 3.606,28","R$ 389,56","12,11 %"
WEGE3,40,"R$ 36,75","R$ 1.469,86","R$ 46,47","R$ 1.858,80","R$ 388,94","26,46 %"
META,1,"R$ 3.114,51","R$ 3.114,51","R$ 3.435,31","R$ 3.435,31","R$ 320,80","10,30 %"
SAPR4,210,"R$ 5,81","R$ 1.220,67","R$ 7,28","R$ 1.528,80","R$ 308,13","25,24 %"
AURE3,75,"R$ 8,64","R$ 647,93","R$ 12,70","R$ 952,50","R$ 304,57","47,01 %"
BBSE3,40,"R$ 33,23","R$ 1.329,21","R$ 39,98","R$ 1.599,20","R$ 269,99","20,31 %"
JPM,2,"R$ 1.606,25","R$ 3.212,50","R$ 1.740,79","R$ 3.481,58","R$ 269,08","8,38 %"
"Tesouro IPCA+ 2045",5,"R$ 1.171,14","R$ 5.855,71","R$ 1.236,33","R$ 6.124,61","R$ 268,90","4,59 %"
V,2,"R$ 1.673,70","R$ 3.347,41","R$ 1.789,60","R$ 3.579,19","R$ 231,78","6,92 %"
"Tesouro IPCA+ 2035","1,5","R$ 2.200,01","R$ 3.300,01","R$ 2.381,83","R$ 3.525,02","R$ 225,01","6,82 %"
BTLG11,60,"R$ 99,16","R$ 5.949,75","R$ 102,54","R$ 6.152,40","R$ 202,65","3,41 %"
CMIG4,225,"R$ 10,50","R$ 2.361,46","R$ 11,34","R$ 2.551,50","R$ 190,04","8,05 %"
PSSA3,10,"R$ 46,82","R$ 468,19","R$ 54,27","R$ 542,70","R$ 74,51","15,92 %"
EGIE3,20,"R$ 31,18","R$ 623,58","R$ 33,44","R$ 668,80","R$ 45,22","7,25 %"
LVBI11,20,"R$ 100,97","R$ 2.019,46","R$ 103,21","R$ 2.064,20","R$ 44,74","2,22 %"
"Tesouro IPCA+ 2050","0,25","R$ 732,87","R$ 183,22","R$ 865,47","R$ 210,57","R$ 27,35","14,93 %"
"Apple Inc.",1,"R$ 1.367,81","R$ 1.367,81","R$ 1.373,26","R$ 1.373,26","R$ 5,45","0,40 %"
ITSA2,4,"R$ 2,67","R$ 10,67","R$ 2,67","R$ 10,67","R$ 0,00","0,00 %"
"Tesouro IPCA+ 2032","0,9","R$ 2.912,64","R$ 2.621,38","R$ 2.907,03","R$ 2.616,33","-R$ 5,05","-0,19 %"
SHV,"1,9","R$ 581,96","R$ 1.105,73","R$ 569,55","R$ 1.082,15","-R$ 23,58","-2,13 %"
KLBN4,181,"R$ 3,76","R$ 680,93","R$ 3,51","R$ 635,31","-R$ 45,62","-6,70 %"
GGRC11,400,"R$ 9,95","R$ 3.981,89","R$ 9,70","R$ 3.880,00","-R$ 101,89","-2,56 %"
"Tesouro IPCA+ 2040","4,3","R$ 1.697,11","R$ 7.297,59","R$ 1.669,23","R$ 7.177,69","-R$ 119,90","-1,64 %"
KISU11,400,"R$ 6,80","R$ 2.718,90","R$ 6,46","R$ 2.584,00","-R$ 134,90","-4,96 %"
MSFT,3,"R$ 2.051,22","R$ 6.153,67","R$ 1.991,95","R$ 5.975,85","-R$ 177,82","-2,89 %"
BBAS3,165,"R$ 23,53","R$ 3.882,46","R$ 20,57","R$ 3.394,05","-R$ 488,41","-12,58 %"
"35 ativos",,Total:,"R$ 136.292,16",,"R$ 149.654,22","R$ 13.362,06","9.80 %"
